quarterID,"ratio of sleeplessness to sleep, restricted, male","ratio of sleeplessness to sleep, restriced, female","ratio, male","ratio, female","ratio, both sexes",moving average,sleepft,productionft,hworkft,leisureft,countft,sleeppt,productionpt,hworkpt,leisurept,countpt,sleepnw,hworknw,leisurenw,countnw
20053,0.1182601973,0.1523037404,0.0042648306,0.0082282741,0.0065894597,0.0070641536,509.5045471191,308.1423339844,210.685043335,403.946685791,1651,527.6674804688,201.0683898926,255.4433898926,446.3348999023,424,552.5,267.1640625,565.6072998047,1146
20054,0.1402947158,0.1437189579,0.0064023379,0.0074018347,0.0069541926,0.007433316,506.2940979004,306.1298217773,204.6588134766,417.5904541016,1741,524.1884155273,201.177734375,240.8008575439,466.3747253418,467,555.0008544922,254.4987182617,583.7719726563,1171
20061,0.1645158678,0.1578359604,0.0072682323,0.0089895613,0.0082347598,0.0075130516,500.1463928223,308.7462768555,215.9696044922,403.7859802246,1612,517.4862670898,212.0665130615,253.2064208984,441.8073425293,436,548.7904052734,260.4158935547,580.4142456055,1207
20062,0.114761889,0.1800905168,0.0050197509,0.0095220273,0.0075748586,0.0073383177,502.552947998,307.7206115723,206.2813568115,414.224822998,1539,530.3189697266,188.4244537354,252.7242279053,454.604309082,417,551.85546875,261.3536682129,581.0251464844,1114
20063,0.1422617882,0.1551942974,0.0068052337,0.009292095,0.0082752695,0.0077597701,519.8659667969,292.5465087891,216.4063720703,403.3727111816,1634,527.8927001953,225.9748840332,243.2260284424,428.9337768555,438,558.0869750977,261.2678222656,564.6278076172,1150
20064,0.1563780308,0.1594366878,0.0056352448,0.0089121023,0.0075184959,0.007900846,506.1107177734,308.1259460449,206.1060333252,412.1956787109,1707,534.297668457,216.7880096436,234.7708740234,443.4561157227,467,554.3657836914,257.3895263672,574.5449829102,1222
20071,0.157484591,0.1503548771,0.0066041928,0.0078392411,0.0073195733,0.0076720493,500.8668518066,313.3857727051,211.4810638428,406.2858886719,1532,527.7989501953,204.2242279053,249.3376312256,448.7886657715,388,556.4242553711,252.0475769043,580.4291381836,1030
20072,0.1486883759,0.1631508023,0.0056044078,0.008427009,0.0071894433,0.0075756955,501.4320678711,311.399597168,200.4751434326,419.3412780762,1509,530.8677978516,187.2093658447,237.3223114014,474.5289306641,363,556.3905029297,260.5812072754,581.6514892578,1096
20073,0.1577794105,0.1492003053,0.0065883412,0.0080371508,0.0073950333,0.0073556365,505.2906188965,313.1724853516,211.4349975586,398.5118713379,1600,534.3065795898,207.7323608398,246.4428253174,440.7907409668,411,545.4866943359,251.6980438232,588.9085083008,1126
20074,0.1350440532,0.1715102345,0.0063363784,0.0096691595,0.0082445545,0.0075371511,506.3675231934,312.1255187988,209.5998840332,403.7284240723,1657,530.9018554688,199.7260284424,242.9132385254,455.5137023926,438,557.5755615234,240.5983581543,589.82421875,1098
20081,0.1485310495,0.1320317537,0.0067022741,0.0080516255,0.0074621155,0.0075727867,503.8066101074,302.8484191895,208.2389221191,417.2832336426,1603,521.0917358398,197.0800018311,241.4352874756,470.3788146973,425,547.7828369141,255.4084014893,590.5200805664,1119
20082,0.1484091133,0.1338972002,0.0070424424,0.007144257,0.0070983185,0.0075500055,501.2466125488,302.8390808105,209.1849517822,417.7953186035,1622,539.6205444336,184.7565612793,236.1670684814,466.2076416016,419,557.1748657227,236.1177520752,604.2038574219,1138
20083,0.1220433563,0.1362127811,0.006353667,0.0097961249,0.0082774907,0.0077706198,513.2897338867,296.7647094727,213.1195220947,409.5294189453,1598,525.4311523438,218.9571075439,229.2799072266,453.4875793457,443,550.0363769531,256.541809082,579.4699707031,1100
20084,0.1736753881,0.1616254747,0.0063612964,0.0088598682,0.0077484529,0.0076465944,514.1917724609,298.7367553711,201.5979766846,416.986907959,1679,539.032409668,214.7777709961,227.263885498,449.0115661621,432,558.2008666992,238.5091705322,594.737121582,1145
20091,0.1333043724,0.1504238397,0.0062933392,0.0094755171,0.0081286551,0.0078132293,513.2982788086,288.1026000977,209.1272888184,421.6884155273,1579,520.8919677734,217.8559265137,233.0021209717,455.7860107422,472,560.2637329102,245.9721069336,584.3705444336,1255
20092,0.157773912,0.1588107646,0.0070424639,0.0097477548,0.008584396,0.0081847487,509.1053466797,296.4779968262,205.0826721191,415.503326416,1500,532.6307983398,189.1428527832,225.3802185059,476.373626709,455,550.2607421875,242.5708618164,600.825378418,1277
